iter	Passed	Remaining
0	1	128
1	2	113
2	3	104
3	4	98
4	5	96
5	6	94
6	7	93
7	8	92
8	8	88
9	9	85
10	10	83
11	11	81
12	11	79
13	12	77
14	13	75
15	14	73
16	14	72
17	15	70
18	16	69
19	17	68
20	17	67
21	18	66
22	19	65
23	20	64
24	21	63
25	22	63
26	22	62
27	23	61
28	24	60
29	25	59
30	26	58
31	26	57
32	27	56
33	28	55
34	29	54
35	30	53
36	30	52
37	31	51
38	32	50
39	33	50
40	34	49
41	35	48
42	35	47
43	37	47
44	38	46
45	39	45
46	40	45
47	40	44
48	41	43
49	42	42
50	43	42
51	44	41
52	45	40
53	46	40
54	47	39
55	48	38
56	49	37
57	50	36
58	52	36
59	53	35
60	54	34
61	55	33
62	56	33
63	57	32
64	58	31
65	59	30
66	60	29
67	61	29
68	67	30
69	68	29
70	69	28
71	70	27
72	72	26
73	73	25
74	74	24
75	75	23
76	76	22
77	77	21
78	78	20
79	78	19
80	79	18
81	80	17
82	81	16
83	82	15
84	83	14
85	84	13
86	85	12
87	86	11
88	86	10
89	87	9
90	88	8
91	89	7
92	90	6
93	91	5
94	92	4
95	93	3
96	94	2
97	95	1
98	96	0
99	97	0
